,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,label
17,0.0,0.20044543429844097,0.7706013363028953,0.028953229398663696,0.0,0.0,0.0,0.0,1
18,0.0,0.23296032553407936,0.7670396744659207,0.0,0.0,0.0,0.0,0.0,1
19,0.1358574610244989,0.028953229398663696,0.22048997772828507,0.6146993318485523,0.0,0.0,0.0,0.0,1
20,0.0,0.21284185493460167,0.7871581450653984,0.0,0.0,0.0,0.0,0.0,1
21,0.16023166023166024,0.03474903474903475,0.2876447876447876,0.5173745173745173,0.0,0.0,0.0,0.0,2
22,0.1625,0.025,0.3125,0.5,0.0,0.0,0.0,0.0,0
23,0.109979633401222,0.031568228105906315,0.3258655804480652,0.5325865580448065,0.0,0.0,0.0,0.0,1
24,0.13643659711075443,0.10754414125200643,0.3097913322632424,0.4462279293739968,0.0,0.0,0.0,0.0,1
25,0.0946372239747634,0.11356466876971609,0.23659305993690852,0.03470031545741325,0.5205047318611987,0.0,0.0,0.0,2
26,0.05454545454545454,0.15454545454545454,0.13090909090909092,0.66,0.0,0.0,0.0,0.0,1
27,0.0718232044198895,0.1464088397790055,0.10082872928176796,0.6671270718232044,0.013812154696132596,0.0,0.0,0.0,2
28,0.07228915662650602,0.1153184165232358,0.12392426850258176,0.6712564543889845,0.01721170395869191,0.0,0.0,0.0,2
29,0.045714285714285714,0.2057142857142857,0.1657142857142857,0.5828571428571429,0.0,0.0,0.0,0.0,2
30,0.05230125523012552,0.14225941422594143,0.14225941422594143,0.6631799163179917,0.0,0.0,0.0,0.0,1
31,0.06429780033840947,0.13028764805414553,0.23857868020304568,0.1996615905245347,0.36717428087986465,0.0,0.0,0.0,2
32,0.06432038834951456,0.15655339805825244,0.11165048543689321,0.6674757281553398,0.0,0.0,0.0,0.0,1
33,0.05170387779083431,0.14806110458284372,0.10340775558166862,0.6968272620446534,0.0,0.0,0.0,0.0,2
34,0.0,0.2446043165467626,0.4676258992805755,0.28776978417266186,0.0,0.0,0.0,0.0,1
35,0.06573957016434892,0.1504424778761062,0.20101137800252844,0.4247787610619469,0.15802781289506954,0.0,0.0,0.0,1
36,0.0,0.23088455772113944,0.4767616191904048,0.29235382308845576,0.0,0.0,0.0,0.0,1
37,0.0016750418760469012,0.22613065326633167,0.5276381909547738,0.24455611390284757,0.0,0.0,0.0,0.0,0
38,0.08391608391608392,0.16783216783216784,0.40559440559440557,0.34265734265734266,0.0,0.0,0.0,0.0,2
39,0.0,0.2635514018691589,0.6130841121495327,0.1233644859813084,0.0,0.0,0.0,0.0,1
40,0.12472160356347439,0.08685968819599109,0.3051224944320713,0.48329621380846327,0.0,0.0,0.0,0.0,1
41,0.0,0.2720156555772994,0.7279843444227005,0.0,0.0,0.0,0.0,0.0,1
42,0.14285714285714285,0.060790273556231005,0.3495440729483283,0.44680851063829785,0.0,0.0,0.0,0.0,1
43,0.023170731707317073,0.1926829268292683,0.39390243902439026,0.3902439024390244,0.0,0.0,0.0,0.0,1
44,0.06541019955654102,0.009977827050997782,0.48337028824833705,0.3736141906873614,0.06762749445676275,0.0,0.0,0.0,1
45,0.11618798955613577,0.024804177545691905,0.3524804177545692,0.5065274151436031,0.0,0.0,0.0,0.0,1
46,0.0,0.21390374331550802,0.40106951871657753,0.3850267379679144,0.0,0.0,0.0,0.0,1
47,0.12955465587044535,0.1417004048582996,0.2834008097165992,0.44534412955465585,0.0,0.0,0.0,0.0,2
48,0.1324376199616123,0.08253358925143954,0.31285988483685223,0.472168905950096,0.0,0.0,0.0,0.0,1
49,0.1277533039647577,0.10866372980910426,0.3392070484581498,0.4243759177679883,0.0,0.0,0.0,0.0,0
50,0.14709110867178923,0.0845225027442371,0.29418221734357847,0.47420417124039516,0.0,0.0,0.0,0.0,2
51,0.12871287128712872,0.08415841584158416,0.31683168316831684,0.47029702970297027,0.0,0.0,0.0,0.0,1
52,0.15521628498727735,0.08142493638676845,0.2900763358778626,0.4732824427480916,0.0,0.0,0.0,0.0,2
53,0.15482695810564662,0.07103825136612021,0.29690346083788705,0.4772313296903461,0.0,0.0,0.0,0.0,2
54,0.12449799196787148,0.14457831325301204,0.2931726907630522,0.43775100401606426,0.0,0.0,0.0,0.0,0
55,0.12698412698412698,0.06984126984126984,0.326984126984127,0.47619047619047616,0.0,0.0,0.0,0.0,1
56,0.11223203026481715,0.03656998738965952,0.3833543505674653,0.467843631778058,0.0,0.0,0.0,0.0,1
57,0.13247863247863248,0.11752136752136752,0.3055555555555556,0.4444444444444444,0.0,0.0,0.0,0.0,1
58,0.10148232611174458,0.03078677309007982,0.13568985176738882,0.7320410490307868,0.0,0.0,0.0,0.0,2
59,0.0,0.2432,0.6432,0.1136,0.0,0.0,0.0,0.0,0
60,0.0,0.1744186046511628,0.5116279069767442,0.313953488372093,0.0,0.0,0.0,0.0,2
61,0.11265969802555169,0.04878048780487805,0.09407665505226481,0.7444831591173054,0.0,0.0,0.0,0.0,1
62,0.0,0.0,0.0,0.13953488372093023,0.8604651162790697,0.0,0.0,0.0,1
63,0.0944741532976827,0.0374331550802139,0.3226381461675579,0.5454545454545454,0.0,0.0,0.0,0.0,1
64,0.09242144177449169,0.022181146025878003,0.3364140480591497,0.5489833641404805,0.0,0.0,0.0,0.0,2
65,0.08518518518518518,0.0,0.0,0.0,0.0,0.0,0.9148148148148149,0.0,1
